X,Y,yield
440727.173,5018822.659,195.93556
440729.673,5018822.659,181.01962
440732.173,5018822.659,166.30402
440734.673,5018822.659,154.59531
440737.173,5018822.659,148.84196
440739.673,5018822.659,148.69669
440682.173,5018820.159,165.98428
440684.673,5018820.159,165.42325
440687.173,5018820.159,163.6073
440689.673,5018820.159,163.8519
440692.173,5018820.159,164.11662
440694.673,5018820.159,163.72305
440697.173,5018820.159,162.07573
440699.673,5018820.159,161.49821
440702.173,5018820.159,163.56943
440704.673,5018820.159,169.03349
440707.173,5018820.159,177.21388
440709.673,5018820.159,186.15451
440712.173,5018820.159,194.59032
440714.673,5018820.159,202.55556
440717.173,5018820.159,209.40936
440719.673,5018820.159,214.27208
440722.173,5018820.159,215.29413
440724.673,5018820.159,210.78452
440727.173,5018820.159,201.38605
440729.673,5018820.159,188.84219
440732.173,5018820.159,174.84576
440734.673,5018820.159,161.71376
440737.173,5018820.159,152.72154
440739.673,5018820.159,150.0714
440682.173,5018817.659,161.40591
440684.673,5018817.659,160.30373
440687.173,5018817.659,160.64595
440689.673,5018817.659,160.58568
440692.173,5018817.659,161.09348
440694.673,5018817.659,160.00421
440697.173,5018817.659,156.72473
440699.673,5018817.659,154.23277
440702.173,5018817.659,154.73265
440704.673,5018817.659,159.28436
440707.173,5018817.659,167.39125
440709.673,5018817.659,176.77701
440712.173,5018817.659,185.91864
440714.673,5018817.659,194.76083
440717.173,5018817.659,202.63278
440719.673,5018817.659,208.50313
440722.173,5018817.659,211.39421
440724.673,5018817.659,210.16023
440727.173,5018817.659,204.60866
440729.673,5018817.659,195.61382
440732.173,5018817.659,184.22386
440734.673,5018817.659,172.01866
440737.173,5018817.659,162.23993
440739.673,5018817.659,159.20734
440742.173,5018817.659,161.9877
440679.673,5018815.159,161.35793
440682.173,5018815.159,158.93886
440684.673,5018815.159,157.15279
440687.173,5018815.159,157.41855
440689.673,5018815.159,158.79317
440692.173,5018815.159,159.51627
440694.673,5018815.159,158.85123
440697.173,5018815.159,155.77528
440699.673,5018815.159,151.65715
440702.173,5018815.159,150.35736
440704.673,5018815.159,152.98087
440707.173,5018815.159,159.5817
440709.673,5018815.159,168.07545
440712.173,5018815.159,176.81433
440714.673,5018815.159,185.6922
440717.173,5018815.159,194.07668
440719.673,5018815.159,200.73151
440722.173,5018815.159,205.14117
440724.673,5018815.159,206.71158
