X,Y,timestamp,moisture,speed,width,yield,yield (bu/ac)
440836.7193,5018523.554,2021-11-07T01:02:41,20.29999924,5.815908909,20.01000023,8328.550781,148.7241211
440834.2162,5018524.252,2021-11-07T01:02:42,20.29999924,5.815908909,20.01000023,8280.40918,147.8644496
440831.685,5018524.95,2021-11-07T01:02:43,20.29999924,5.863636494,20.01000023,8069.760254,144.1028617
440829.1536,5018525.634,2021-11-07T01:02:44,20.39999962,5.863636494,20.01000023,7773.494629,138.8124041
440826.6224,5018526.332,2021-11-07T01:02:45,20.60000038,5.863636494,20.01000023,7325.830078,130.8183943
440824.0909,5018527.002,2021-11-07T01:02:46,20.89999962,5.836363792,20.01000023,6808.521484,121.5807408
440821.5737,5018527.686,2021-11-07T01:02:47,21.20000076,5.836363792,20.01000023,6237.237305,111.3792376
440819.0423,5018528.371,2021-11-07T01:02:48,21.5,5.863636494,20.01000023,5667.249512,101.2008841
440816.511,5018529.055,2021-11-07T01:02:49,21.60000038,5.863636494,20.01000023,5260.774902,93.94240896
440813.9797,5018529.753,2021-11-07T01:02:50,21.79999924,5.8840909,20.01000023,4902.293457,87.54095459
440811.4062,5018530.452,2021-11-07T01:02:51,21.79999924,5.925000191,20.01000023,4567.065918,81.55474854
440808.8467,5018531.136,2021-11-07T01:02:52,22.10000038,5.925000191,20.01000023,4318.604004,77.11792864
440806.3013,5018531.834,2021-11-07T01:02:53,22.39999962,5.904545307,20.01000023,4201.450684,75.02590507
440803.7418,5018532.519,2021-11-07T01:02:54,22.70000076,5.904545307,20.01000023,4254.195313,75.96777345
440801.2106,5018533.217,2021-11-07T01:02:55,22.60000038,5.8840909,20.01000023,4505.560547,80.45643834
440798.665,5018533.887,2021-11-07T01:02:56,22.5,5.8840909,20.01000023,4858.411133,86.75734166
440796.1198,5018534.6,2021-11-07T01:02:57,22.5,5.904545307,20.01000023,5302.683594,94.69077846
440793.5745,5018535.298,2021-11-07T01:02:58,22.5,5.904545307,20.01000023,5832.952148,104.1598598
440791.029,5018535.982,2021-11-07T01:02:59,22.5,5.904545307,20.01000023,6247.944824,111.5704433
440788.4837,5018536.681,2021-11-07T01:03:00,22.5,5.863636494,20.01000023,6662.990723,118.9819772
440785.9804,5018537.351,2021-11-07T01:03:01,22.5,5.815908909,20.01000023,7162.393555,127.8998849
440783.463,5018538.021,2021-11-07T01:03:02,22.5,5.795454502,20.01000023,7540.009277,134.6430228
440780.9599,5018538.704,2021-11-07T01:03:03,22.5,5.815908909,20.01000023,7232.612793,129.1537999
440778.4285,5018539.389,2021-11-07T01:03:04,22.5,5.863636494,20.01000023,6337.966797,113.1779785
440771.7423,5018543.526,2021-11-07T01:03:31,22.5,4.561363697,9.510000229,7284.239746,130.0757098
440763.5468,5018553.608,2021-11-07T01:03:56,21,3.872727156,20.01000023,7022.938965,125.4096244
440763.8191,5018555.587,2021-11-07T01:03:57,20.79999924,4.452272892,20.01000023,6936.638184,123.868539
440764.149,5018557.692,2021-11-07T01:03:58,21,4.786363602,20.01000023,7102.972656,126.8387974
440764.5081,5018559.894,2021-11-07T01:03:59,21.10000038,5.011363506,20.01000023,7328.576172,130.8674316
440764.9102,5018562.181,2021-11-07T01:04:00,21.29999924,5.188636303,20.01000023,7566.455566,135.115278
