X,Y,timestamp,moisture,speed,width,yield
440809.4072,5018794.008,2021-11-07T00:46:18,22.29999924,6.238636494,20.01000023,93.79776001
440823.9305,5018791.244,2021-11-07T00:49:03,23.89999962,6.354545593,7.510000229,94.12067413
440823.6115,5018767.725,2021-11-07T00:46:07,21.79999924,5.863636494,20.01000023,94.16122437
440752.868,5018859.525,2021-11-07T00:36:55,21.70000076,4.431818008,20.01000023,94.24940491
440761.8173,5018889.272,2021-11-07T00:43:20,22.5,3.893181801,20.01000023,94.32435608
440758.111,5018902.95,2021-11-07T00:40:26,22.60000038,4.295454502,20.01000023,94.4274292
440781.2444,5018806.595,2021-11-07T00:37:21,22.79999924,5.393181801,20.01000023,94.77735138
440801.3544,5018832.823,2021-11-07T00:49:20,22.5,6.21818161,7.510000229,94.82802582
440789.6624,5018817.279,2021-11-07T00:42:39,23.10000038,5.393181801,20.01000023,95.30391693
440828.9536,5018746.542,2021-11-07T00:42:05,22.39999962,4.520454407,20.01000023,95.34606171
440821.9287,5018734.088,2021-11-07T00:31:29,22.5,3.913636446,20.01000023,95.69556427
440754.7454,5018909.361,2021-11-07T00:36:26,21.89999962,2.775000095,13.47999954,95.70133209
440834.904,5018770.725,2021-11-07T00:48:55,24.29999924,6.327272892,10.01000023,96.06211853
440785.2808,5018838.636,2021-11-07T00:46:36,22.70000076,6.422727108,20.01000023,96.30527496
440759.3894,5018860.391,2021-11-07T00:40:45,21.79999924,5.345454693,20.01000023,96.4031601
440786.6529,5018836.122,2021-11-07T00:46:35,22.89999962,6.395454407,20.01000023,96.46572113
440762.7508,5018894.097,2021-11-07T00:43:23,22.5,3.559090853,20.01000023,97.02883911
440845.6859,5018758.343,2021-11-07T00:45:16,23.60000038,5.952272892,20.01000023,97.47107697
440753.753,5018857.676,2021-11-07T00:36:56,21.70000076,4.561363697,20.01000023,97.49795532
440784.5081,5018875.008,2021-11-07T00:39:41,24,4.963636398,20.01000023,97.53479004
440813.3844,5018786.65,2021-11-07T00:46:15,21.89999962,6.21818161,20.01000023,97.74378967
440762.115,5018890.941,2021-11-07T00:43:21,22.5,3.804545403,20.01000023,97.80030823
440825.2748,5018788.759,2021-11-07T00:49:02,23.79999924,6.443181992,7.510000229,97.89190674
440818.5672,5018801.13,2021-11-07T00:49:07,23.89999962,6.238636494,7.510000229,97.90914154
440813.2165,5018810.862,2021-11-07T00:49:11,23.60000038,6.21818161,7.510000229,98.61845398
440762.4261,5018892.554,2021-11-07T00:43:22,22.5,3.668181896,20.01000023,98.78408813
440780.503,5018834.283,2021-11-07T00:42:47,22.79999924,5.434091091,20.01000023,98.96764374
440811.9,5018813.291,2021-11-07T00:49:12,23.79999924,6.177272797,7.510000229,99.01168823
