X,Y,timestamp,moisture,speed,width,yield,inBoundary
440773.5069,5018904.562,2021-11-07T00:35:19,22.10000038,3.470454454,20.01000023,113.4036026,1
440772.8573,5018905.945,2021-11-07T00:35:20,22.29999924,3.422727346,20.01000023,105.4290543,1
440772.2489,5018907.216,2021-11-07T00:35:21,22.60000038,3.020454645,20.01000023,106.1432724,1
440771.737,5018908.246,2021-11-07T00:35:22,22.60000038,1.813636422,20.01000023,143.2928162,1
440771.3217,5018909.065,2021-11-07T00:35:23,22.60000038,1.363636374,20.01000023,137.1459503,1
440770.9618,5018909.771,2021-11-07T00:35:24,22.70000076,1.274999976,20.01000023,114.1485596,1
440770.7818,5018910.124,2021-11-07T00:35:25,22.89999962,0.4909091,8.010000229,677.1430664,1
440774.3973,5018901.786,2021-11-07T00:35:34,22.5,2.502272844,0.980000019,317.510376,1
440774.0508,5018902.421,2021-11-07T00:35:35,23.10000038,3.040909052,2.49000001,133.9182587,1
440773.4672,5018903.326,2021-11-07T00:35:36,23.5,3.334090948,2.49000001,179.3673096,1
440772.7153,5018904.331,2021-11-07T00:35:37,23.39999962,2.863636255,3.50999999,210.549118,1
440771.8086,5018905.365,2021-11-07T00:35:38,23,3.061363697,5.510000229,169.1115112,1
440770.8315,5018906.4,2021-11-07T00:35:39,22.70000076,3.197727203,7.510000229,157.6484528,1
440769.7696,5018907.421,2021-11-07T00:35:40,22.29999924,3.313636303,10.01000023,155.9139252,1
440768.6656,5018908.458,2021-11-07T00:35:41,22,3.375,12.98999977,147.4628296,1
440767.5474,5018909.48,2021-11-07T00:35:42,21.89999962,3.402272701,20.01000023,100.8462677,1
440766.4567,5018910.431,2021-11-07T00:35:43,22,3.265909195,20.01000023,93.68075562,1
440765.4075,5018911.298,2021-11-07T00:35:44,22.29999924,2.775000095,20.01000023,84.34884644,1
440764.6939,5018911.881,2021-11-07T00:35:45,22.5,1.322727323,12.01000023,199.1125793,1
440765.9163,5018911.434,2021-11-07T00:35:51,22.5,1.479545474,0.980000019,469.8641357,1
440765.4666,5018911.593,2021-11-07T00:35:52,22.5,2.168181896,3.50999999,102.3094711,1
440764.7639,5018911.824,2021-11-07T00:35:53,22.39999962,2.372727156,10.01000023,63.59727097,1
440763.8501,5018912.1,2021-11-07T00:35:54,22.20000076,2.618181705,16.98999977,66.9905014,1
440762.7817,5018912.419,2021-11-07T00:35:55,21.89999962,2.502272844,20.01000023,87.16783905,1
440761.6147,5018912.753,2021-11-07T00:35:56,21.70000076,2.686363697,20.01000023,82.3169632,1
440760.4476,5018913.073,2021-11-07T00:35:57,21.5,2.706818104,20.01000023,62.79275513,1
440759.3646,5018913.35,2021-11-07T00:35:58,21.5,2.372727156,20.01000023,47.75617599,1
440758.6474,5018913.54,2021-11-07T00:35:59,21.5,1.097727299,12.01000023,119.6407547,1
440762.1857,5018913.506,2021-11-07T00:36:09,22,1.274999976,4.989999771,69.28246307,1
440761.7618,5018913.412,2021-11-07T00:36:10,22,2.059090853,2.99000001,47.73051453,1
440761.027,5018913.222,2021-11-07T00:36:11,22,2.549999952,2,38.41328049,1
440760.0795,5018912.908,2021-11-07T00:36:12,22,3.088636398,2,23.78570557,1
440758.9332,5018912.441,2021-11-07T00:36:13,22,2.795454502,8.010000229,10.93645573,1
440757.7008,5018911.82,2021-11-07T00:36:14,22,3.088636398,18.5,11.14285278,1
440756.5243,5018911.143,2021-11-07T00:36:15,22,3.061363697,20.01000023,23.18609238,1
440755.5169,5018910.45,2021-11-07T00:36:16,22,2.325000048,20.01000023,44.21511841,1
440754.8641,5018909.992,2021-11-07T00:36:17,21.89999962,0.852272749,16.01000023,154.5419922,1
440756.1538,5018912.214,2021-11-07T00:36:22,21.70000076,1.3840909,12.01000023,50.28055191,1
440756.053,5018911.99,2021-11-07T00:36:23,21.79999924,2.195454597,6.989999771,57.593647,1
440755.7651,5018911.361,2021-11-07T00:36:24,21.89999962,2.706818104,2.49000001,203.726532,1
440755.2915,5018910.466,2021-11-07T00:36:25,21.89999962,3.156818151,4.989999771,146.3173218,1
440754.7454,5018909.361,2021-11-07T00:36:26,21.89999962,2.775000095,13.47999954,95.70133209,1
440754.1701,5018908.144,2021-11-07T00:36:27,21.89999962,3.020454645,20.01000023,76.27047729,1
440753.5937,5018906.814,2021-11-07T00:36:28,21.89999962,3.197727203,20.01000023,78.93992615,1
440753.059,5018905.428,2021-11-07T00:36:29,21.89999962,3.354545355,20.01000023,75.24964142,1
